"term","time","beta_main","gamma_logtime","coef_at_time","HR_at_time"
"TypeHS",1,-0.525112804840884,0.556701750245652,-0.525112804840884,0.591488637821673
"TypeHS",3,-0.525112804840884,0.556701750245652,0.0864865791020341,1.09033673432152
"TypeHS",5,-0.525112804840884,0.556701750245652,0.370864097922888,1.448986139779
"TypeHS",8,-0.525112804840884,0.556701750245652,0.632515940945797,1.8823404841867
"TypeHS",10,-0.525112804840884,0.556701750245652,0.756740346518448,2.13131752859384
"TypeJC",1,0.511960079022696,-0.115831483699926,0.511960079022696,1.66855849832413
"TypeJC",3,0.511960079022696,-0.115831483699926,0.384706187615298,1.46918259397931
"TypeJC",5,0.511960079022696,-0.115831483699926,0.325536497702543,1.38477337446082
"TypeJC",8,0.511960079022696,-0.115831483699926,0.27109527998266,1.3114000146028
"TypeJC",10,0.511960079022696,-0.115831483699926,0.245248231355864,1.27793849824175
"OvPck_sc",1,0.5715777946805,-0.0550583296897812,0.5715777946805,1.7710592159331
"OvPck_sc",3,0.5715777946805,-0.0550583296897812,0.511090037089766,1.66710741380677
"OvPck_sc",5,0.5715777946805,-0.0550583296897812,0.48296483148247,1.62087290031269
"OvPck_sc",8,0.5715777946805,-0.0550583296897812,0.457087216708065,1.57946663412263
"OvPck_sc",10,0.5715777946805,-0.0550583296897812,0.444801305491658,1.56018016580209
"newPOSIF",1,0.131347149742824,-0.138120751516216,0.131347149742824,1.14036358953249
"newPOSIF",3,0.131347149742824,-0.138120751516216,-0.0203940051929653,0.97981254601241
"newPOSIF",5,0.131347149742824,-0.138120751516216,-0.0909496242412639,0.913063706017702
"newPOSIF",8,0.131347149742824,-0.138120751516216,-0.155866878728034,0.855673091079818
"newPOSIF",10,0.131347149742824,-0.138120751516216,-0.18668763373155,0.829702867099968
"newPOSLHP",1,0.0661187703121759,-0.232044451636741,0.0661187703121759,1.06835359832137
"newPOSLHP",3,0.0661187703121759,-0.232044451636741,-0.1888081157732,0.827945361108867
"newPOSLHP",5,0.0661187703121759,-0.232044451636741,-0.307342367521976,0.735398781143895
"newPOSLHP",8,0.0661187703121759,-0.232044451636741,-0.41640410193758,0.659413746264007
"newPOSLHP",10,0.0661187703121759,-0.232044451636741,-0.468183324938561,0.626138726291739
"newPOSOF",1,0.0496752673648374,0.0284919216782767,0.0496752673648374,1.05092976976557
"newPOSOF",3,0.0496752673648374,0.0284919216782767,0.0809768426483616,1.08434578569935
"newPOSOF",5,0.0496752673648374,0.0284919216782767,0.095531246311959,1.1002432000391
"newPOSOF",8,0.0496752673648374,0.0284919216782767,0.108922552904934,1.1150759876012
"newPOSOF",10,0.0496752673648374,0.0284919216782767,0.115280341491991,1.12218798933415
"newPOSRHP",1,0.0496195566932185,-0.165863496936054,0.0496195566932185,1.05087122339312
"newPOSRHP",3,0.0496195566932185,-0.165863496936054,-0.132600119282196,0.875815243722989
"newPOSRHP",5,0.0496195566932185,-0.165863496936054,-0.217327443564565,0.804666443313927
"newPOSRHP",8,0.0496195566932185,-0.165863496936054,-0.295283889083899,0.744320253074793
"newPOSRHP",10,0.0496195566932185,-0.165863496936054,-0.332295258823604,0.717275509662942
