Draft,Round,Pick,Name,Position,Signing Bonus,School Type,MLB Debut,Years in MLB,Active,Last Year,Age at Draft,Rookie Year,Bats,Throws
2024,1,1,Travis Bazzana,Batter,"$8,950,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Left,Right
2024,1,2,Chase Burns,Batter,"$9,250,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,3,Charlie Condon,Batter,"$9,250,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,4,Nick Kurtz,Batter,"$7,000,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Left,Left
2024,1,5,Hagen Smith,Batter,"$8,000,000",4Yr,N/A,N/A,TRUE,2024,20,N/A,Left,Left
2024,1,6,Jac Caglianone,Batter,"$7,497,500",4Yr,N/A,N/A,TRUE,2024,21,N/A,Left,Left
2024,1,7,JJ Wetherholt,Batter,"$6,900,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Left,Right
2024,1,8,Christian Moore,Batter,"$4,997,500",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,9,Konnor Griffin,Batter,"$6,532,025",HS,N/A,N/A,TRUE,2024,21,N/A,Right,
2024,1,10,Seaver King,Batter,"$5,150,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,11,Bryce Rainer,Batter,"$5,797,500",HS,N/A,N/A,TRUE,2024,21,N/A,Right,
2024,1,12,Braden Montgomery,Batter,"$5,000,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Both,Right
2024,1,13,James Tibbs,Batter,"$4,747,500",4Yr,N/A,N/A,TRUE,2024,21,N/A,Left,Left
2024,1,14,Cam Smith,Batter,"$5,070,700",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,15,Jurrangelo Cijntje,Batter,"$4,880,900",4Yr,N/A,N/A,TRUE,2024,21,N/A,Both,Both
2024,1,16,PJ Morlando,Batter,"$3,400,000",HS,N/A,N/A,TRUE,2024,19,N/A,Left,Right
2024,1,17,Braylon Payne,Batter,"$3,440,000",HS,N/A,N/A,TRUE,2024,19,N/A,Left,
2024,1,18,Theo Gillen,Batter,"$4,370,400",HS,N/A,N/A,TRUE,2024,18,N/A,Left,Right
2024,1,19,Carson Benge,Batter,"$3,997,500",4Yr,N/A,N/A,TRUE,2024,21,N/A,Left,Right
2024,1,20,Trey Yesavage,Batter,"$4,175,000",4Yr,N/A,N/A,TRUE,2024,20,N/A,Right,Right
2024,1,21,Kaelen Culpepper,Batter,"$3,934,400",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,22,Vance Honeycutt,Batter,"$4,000,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,23,Kellon Lindsey,Batter,"$3,297,500",HS,N/A,N/A,TRUE,2024,21,N/A,Right,
2024,1,24,Cam Caminiti,Batter,"$3,553,800",HS,N/A,N/A,TRUE,2024,17,N/A,Left,Left
2024,1,25,Kash Mayfield,Batter,"$3,442,100",HS,N/A,N/A,TRUE,2024,17,N/A,Left,
2024,1,26,Ben Hess,Batter,"$2,747,500",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,27,Dante Nori,Batter,"$2,497,500",HS,N/A,N/A,TRUE,2024,19,N/A,Left,Left
2024,1,28,Walker Janek,Batter,"$3,130,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,29,Slade Caldwell,Batter,"$3,087,000",HS,N/A,N/A,TRUE,2024,21,N/A,Left,
2024,1,30,Malcolm Moore,Batter,"$3,000,000",4Yr,N/A,N/A,TRUE,2024,20,N/A,Left,Right
2024,1,31,Ryan Waldschmidt,Batter,"$2,904,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,32,Griff O'Ferrall,Batter,"$2,697,500",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,33,Kyle DeBarge,Batter,"$2,400,000",4Yr,N/A,N/A,TRUE,2024,20,N/A,Right,Right
2024,1,34,Blake Burke,Batter,"$2,100,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Left,Left
2024,1,35,JD Dix,Batter,"$2,150,000",HS,N/A,N/A,TRUE,2024,21,N/A,Right,
2024,1,36,Braylon Doughty,Batter,"$2,569,200",HS,N/A,N/A,TRUE,2024,21,N/A,Right,
2024,1,37,Levi Sterling,Batter,"$2,508,900",HS,N/A,N/A,TRUE,2024,21,N/A,Right,
2024,1,38,Brody Brecht,Batter,"$2,700,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,1,39,Caleb Lomavita,Batter,"$2,325,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
2024,2,1,Tommy White,Batter,"$3,000,000",4Yr,N/A,N/A,TRUE,2024,21,N/A,Right,Right
