Year,Rnd,OvPck,Name.cleaned,Name.student,status.cleaned,times.cleaned,status.student,times.student,changed_status,changed_times
2012,1,13,Courtney Hawkins (minors),Courtney Hawkins,0,10,0,13,FALSE,TRUE
2012,1,14,Nick Travieso (minors),Nick Travieso,0,10,2,11,TRUE,TRUE
2012,1,27,*Clint Coulter (minors),Clint Coulter,0,10,0,13,FALSE,TRUE
2012,1,48,*Keon Barnum (minors),Keon Barnum,0,10,0,13,FALSE,TRUE
2012,1,53,*Collin Wiles (minors),Collin Wiles,0,10,1,11,TRUE,TRUE
2012,1,55,*Walker Weickel (minors),Walker Weickel,2,8,2,11,FALSE,TRUE
2012,1,58,*Mitch Nay (minors),Mitch Nay,0,10,2,11,TRUE,TRUE
2012,2,63,Mason Melotakis (minors),Mason Melotakis,0,10,2,10,TRUE,FALSE
2012,2,64,Joe DeCarlo (minors),Joe DeCarlo,0,10,2,12,TRUE,TRUE
2012,3,97,Adam Walker (minors),Adam Walker,0,10,0,13,FALSE,TRUE
2012,3,102,Fernando Perez (minors),Fernando Perez,0,10,0,13,FALSE,TRUE
2012,3,110,Kieran Lovegrove (minors),Kieran Lovegrove,0,10,2,10,TRUE,FALSE
2012,3,116,Bryan De La Rosa (minors),Bryan De La Rosa,0,10,2,11,TRUE,TRUE
2012,3,126,*Tyler Pike (minors),Tyler Pike,0,10,2,12,TRUE,TRUE
2012,4,139,BJ Boyd (minors),BJ Boyd,0,10,2,12,TRUE,TRUE
2012,4,153,Chuck Taylor (minors),Chuck Taylor,0,10,2,11,TRUE,TRUE
2012,5,173,Dylan Baker (minors),Dylan Baker,0,10,2,10,TRUE,FALSE
2012,5,182,Bralin Jackson (minors),Bralin Jackson,0,10,2,10,TRUE,FALSE
2012,5,183,Ronnie Freeman (minors),Ronnie Freeman,0,10,2,10,TRUE,FALSE
2012,6,192,Lex Rutledge (minors),Lex Rutledge,2,6,2,5,FALSE,TRUE
2012,6,210,Kurt Heyer (minors),Kurt Heyer,0,10,0,13,FALSE,TRUE
2012,7,227,Ryan Newell (minors),Ryan Newell,0,10,2,10,TRUE,FALSE
2012,7,228,Wilfredo Rodriguez (minors),Wilfredo Rodriguez,2,9,2,8,FALSE,TRUE
2012,7,232,Beau Amaral (minors),Beau Amaral,0,10,2,12,TRUE,TRUE
2012,7,233,Josh McAdams (minors),Josh McAdams,0,10,2,11,TRUE,TRUE
2012,9,294,Derek Self (minors),Derek Self,0,10,2,10,TRUE,FALSE
2012,10,311,Grady Wood (minors),Grady Wood,0,10,2,10,TRUE,FALSE
2012,10,319,Brett Vertigan (minors),Brett Vertigan,0,10,2,10,TRUE,FALSE
2012,10,323,Josh Martin (minors),Josh Martin,2,9,2,12,FALSE,TRUE
2012,10,327,Chris O'Grady (minors),Chris O'Grady,2,6,1,6,TRUE,FALSE
2012,11,344,Rashad Crawford (minors),Rashad Crawford,0,10,2,11,TRUE,TRUE
2012,11,352,Nolan Becker (minors),Nolan Becker,2,8,2,7,FALSE,TRUE
2012,11,365,Preston Gainey (minors),Preston Gainey,0,10,2,10,TRUE,FALSE
2012,12,378,Correlle Prime (minors),Correlle Prime,0,10,2,12,TRUE,TRUE
2012,12,389,Connor Lien (minors),Connor Lien,0,10,2,11,TRUE,TRUE
2012,12,390,Max Foody (minors),Max Foody,0,10,2,10,TRUE,FALSE
2012,13,404,Bijan Rademacher (minors),Bijan Rademacher,2,9,2,8,FALSE,TRUE
2012,13,405,Malcom Diaz (minors),Malcom Diaz,2,4,2,3,FALSE,TRUE
2012,13,410,Matt Bowman (minors),Matt Bowman,2,8,1,5,TRUE,TRUE
2012,13,415,John Silviano (minors),John Silviano,0,10,2,12,TRUE,TRUE
2012,13,423,Phildrick Llewellyn (minors),Phildrick Llewellyn,2,7,2,11,FALSE,TRUE
2012,14,443,Michael Peoples (minors),Michael Peoples,0,10,2,11,TRUE,TRUE
2012,14,458,Ricky Bielski (minors),Ricky Bielski,2,4,2,8,FALSE,TRUE
2012,15,461,Dario Pizzano (minors),Dario Pizzano,0,10,2,10,TRUE,FALSE
2012,15,471,Jordan Guerrero (minors),Jordan Guerrero,0,10,2,11,TRUE,TRUE
2012,15,473,Nellie Rodriguez (minors),Nellie Rodriguez,0,10,0,13,FALSE,TRUE
2012,15,476,Dalton Von Schamann (minors),Dalton Von Schamann,0,10,2,11,TRUE,TRUE
2012,16,492,Luc Rennie (minors),Luc Rennie,0,10,2,10,TRUE,FALSE
2012,16,493,Austin Fairchild (minors),Austin Fairchild,0,10,2,12,TRUE,TRUE
2012,16,499,Melvin Mercedes (minors),Melvin Mercedes,0,10,0,13,FALSE,TRUE
2012,16,504,Ronald Pena (minors),Ronald Pea,0,10,2,11,TRUE,TRUE
2012,16,506,Josh Henderson (minors),Josh Henderson,0,10,2,10,TRUE,FALSE
2012,18,551,Jabari Henry (minors),Jabari Henry,0,10,0,13,FALSE,TRUE
2012,18,565,Estevan Gonzalez (minors),Estevan Gonzalez,2,7,2,12,FALSE,TRUE
2012,18,573,Kevin Medrano (minors),Kevin Medrano,0,10,0,13,FALSE,TRUE
2012,19,595,Jorge Flores (minors),Jorge Flores,0,10,0,13,FALSE,TRUE
2012,20,618,Anthony Seise (minors),Anthony Seise,2,8,2,5,FALSE,TRUE
2012,20,623,Nick Pasquale (minors),Nick Pasquale,2,8,2,7,FALSE,TRUE
2012,20,624,James Brooks (minors),James Brooks,2,2,2,1,FALSE,TRUE
2012,21,644,Stephen Perakslis (minors),Stephen Perakslis,2,9,2,8,FALSE,TRUE
2012,21,648,Rayan Gonzalez (minors),Rayan Gonzlez,0,10,2,9,TRUE,TRUE
2012,21,654,Austin Chubb (minors),Austin Chubb,2,4,2,11,FALSE,TRUE
2012,21,663,Rudy Flores (minors),Rudy Flores,0,10,2,12,TRUE,TRUE
2012,22,688,Brennan Metzger (minors),Brennan Metzger,0,10,2,12,TRUE,TRUE
2012,23,728,Geoff Broussard (minors),Geoff Broussard,0,10,0,13,FALSE,TRUE
2012,24,735,Chris Nunn (minors),Chris Nunn,0,10,2,11,TRUE,TRUE
