"outcome","times","Model","AUC (%)","Brier (%)","IPA"
"Reach MLB",3,"Null model","50.0","2.0 [1.6;2.3]","0.0"
"Reach MLB",3,"MLB_simple","86.2 [81.8;89.5]","1.9 [1.5;2.2]","4.5"
"Reach MLB",3,"MLB_selected","86.1 [81.7;89.6]","1.9 [1.5;2.2]","4.8"
"Reach MLB",5,"Null model","50.0","11.7 [11.0;12.4]","0.0"
"Reach MLB",5,"MLB_simple","80.9 [78.8;82.8]","9.7 [9.1;10.3]","17.3"
"Reach MLB",5,"MLB_selected","81.0 [78.7;82.8]","9.5 [8.9;10.2]","18.5"
"Reach MLB",8,"Null model","50.0","17.5 [16.8;18.5]","0.0"
"Reach MLB",8,"MLB_simple","79.4 [77.4;81.2]","13.9 [13.1;14.8]","21.0"
"Reach MLB",8,"MLB_selected","79.4 [77.3;81.1]","13.8 [13.0;14.7]","21.5"
"Reach MLB",10,"Null model","50.0","18.2 [17.4;19.2]","0.0"
"Reach MLB",10,"MLB_simple","79.1 [77.0;80.9]","14.3 [13.7;15.3]","21.2"
"Reach MLB",10,"MLB_selected","79.1 [77.2;80.7]","14.3 [13.5;15.2]","21.6"
"Retire without MLB",3,"Null model","50.0","19.8 [19.3;20.5]","0.0"
"Retire without MLB",3,"Ret_simple","75.5 [73.9;77.2]","16.9 [16.3;17.6]","14.7"
"Retire without MLB",3,"Ret_selected","75.6 [74.1;77.3]","16.8 [16.3;17.4]","15.2"
"Retire without MLB",5,"Null model","50.0","24.9 [24.6;25.2]","0.0"
"Retire without MLB",5,"Ret_simple","75.0 [73.8;76.9]","20.6 [19.9;21.2]","17.2"
"Retire without MLB",5,"Ret_selected","75.0 [73.9;76.9]","20.4 [19.6;20.9]","18.2"
"Retire without MLB",8,"Null model","50.0","22.9 [22.1;23.5]","0.0"
"Retire without MLB",8,"Ret_simple","74.8 [73.2;76.5]","19.2 [18.4;20.0]","15.9"
"Retire without MLB",8,"Ret_selected","74.8 [73.1;76.5]","19.1 [18.2;19.9]","16.4"
"Retire without MLB",10,"Null model","50.0","21.1 [20.3;22.0]","0.0"
"Retire without MLB",10,"Ret_simple","75.6 [74.0;77.7]","17.8 [17.0;18.7]","15.7"
"Retire without MLB",10,"Ret_selected","75.6 [74.0;77.8]","17.7 [16.8;18.7]","16.2"
